2019-12-31 10:01:45.076| main | INFO |  -  | Creating filter chain: OrRequestMatcher [requestMatchers=[any request]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5cbb2b1d, org.springframework.security.web.context.SecurityContextPersistenceFilter@69765d94, org.springframework.security.web.header.HeaderWriterFilter@13e6b26c, org.springframework.security.web.authentication.logout.LogoutFilter@48adb967, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@550a78ed, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@62f25e32, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@44a1e5d2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@42ffa0c8, org.springframework.security.web.session.SessionManagementFilter@33e7ece5, org.springframework.security.web.access.ExceptionTranslationFilter@31475919, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@65e503a7] | [org.springframework.security.web.DefaultSecurityFilterChain:43]
2019-12-31 10:01:45.113| main | INFO |  -  | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7b6846c6, org.springframework.security.web.context.SecurityContextPersistenceFilter@5b4fd31f, org.springframework.security.web.header.HeaderWriterFilter@2cfde5a4, org.springframework.security.web.csrf.CsrfFilter@34883fa2, org.springframework.security.web.authentication.logout.LogoutFilter@28f307ca, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1858f93e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@646ba7be, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@71103416, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@84f0686, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4c697c25, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@ffa60c9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@503e1cd9, org.springframework.security.web.session.SessionManagementFilter@339b1c34, org.springframework.security.web.access.ExceptionTranslationFilter@4a1bb556, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2b4b3918] | [org.springframework.security.web.DefaultSecurityFilterChain:43]
2019-12-31 10:01:45.174| main | INFO |  -  | Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)] | [springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping:69]
2019-12-31 10:01:45.325| main | WARN |  -  | No URLs will be polled as dynamic configuration sources. | [com.netflix.config.sources.URLConfigurationSource:121]
2019-12-31 10:01:45.326| main | INFO |  -  | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. | [com.netflix.config.sources.URLConfigurationSource:122]
2019-12-31 10:01:46.023| main | INFO |  -  | Initializing ExecutorService 'applicationTaskExecutor' | [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport:171]
2019-12-31 10:01:47.930| main | INFO |  -  | Shutting down DiscoveryClient ... | [com.netflix.discovery.DiscoveryClient:906]
2019-12-31 10:01:47.941| main | INFO |  -  | Completed shut down of DiscoveryClient | [com.netflix.discovery.DiscoveryClient:929]
2019-12-31 10:01:48.262| main | INFO |  -  | Setting initial instance status as: STARTING | [org.springframework.cloud.netflix.eureka.InstanceInfoFactory:72]
2019-12-31 10:01:48.272| main | INFO |  -  | Initializing Eureka in region us-east-1 | [com.netflix.discovery.DiscoveryClient:365]
2019-12-31 10:01:48.279| main | INFO |  -  | Using JSON encoding codec LegacyJacksonJson | [com.netflix.discovery.provider.DiscoveryJerseyProvider:70]
2019-12-31 10:01:48.279| main | INFO |  -  | Using JSON decoding codec LegacyJacksonJson | [com.netflix.discovery.provider.DiscoveryJerseyProvider:71]
2019-12-31 10:01:48.280| main | INFO |  -  | Using XML encoding codec XStreamXml | [com.netflix.discovery.provider.DiscoveryJerseyProvider:80]
2019-12-31 10:01:48.280| main | INFO |  -  | Using XML decoding codec XStreamXml | [com.netflix.discovery.provider.DiscoveryJerseyProvider:81]
2019-12-31 10:01:48.408| main | INFO |  -  | Resolving eureka endpoints via configuration | [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver:43]
2019-12-31 10:01:48.410| main | INFO |  -  | Disable delta property : false | [com.netflix.discovery.DiscoveryClient:976]
2019-12-31 10:01:48.410| main | INFO |  -  | Single vip registry refresh property : null | [com.netflix.discovery.DiscoveryClient:977]
2019-12-31 10:01:48.410| main | INFO |  -  | Force full registry fetch : false | [com.netflix.discovery.DiscoveryClient:978]
