2019-10-11 09:30:22.554| main | DEBUG |  -  | Adding type registration url -> org.hibernate.type.UrlType@425f94d7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.555| main | DEBUG |  -  | Adding type registration java.net.URL -> org.hibernate.type.UrlType@425f94d7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.557| main | DEBUG |  -  | Adding type registration Duration -> org.hibernate.type.DurationType@1786150f | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.557| main | DEBUG |  -  | Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1786150f | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.560| main | DEBUG |  -  | Adding type registration Instant -> org.hibernate.type.InstantType@4e3ffd0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.561| main | DEBUG |  -  | Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4e3ffd0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.563| main | DEBUG |  -  | Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@2586e878 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.564| main | DEBUG |  -  | Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@2586e878 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.566| main | DEBUG |  -  | Adding type registration LocalDate -> org.hibernate.type.LocalDateType@62dc1203 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.566| main | DEBUG |  -  | Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@62dc1203 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.569| main | DEBUG |  -  | Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5ebf776c | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.570| main | DEBUG |  -  | Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5ebf776c | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.574| main | DEBUG |  -  | Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3a0baec0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.574| main | DEBUG |  -  | Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3a0baec0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.604| main | DEBUG |  -  | Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@2bf4fa1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.604| main | DEBUG |  -  | Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@2bf4fa1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.621| main | DEBUG |  -  | Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3428420d | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.623| main | DEBUG |  -  | Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3428420d | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.629| main | DEBUG |  -  | Adding type registration date -> org.hibernate.type.DateType@570299e3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.629| main | DEBUG |  -  | Adding type registration java.sql.Date -> org.hibernate.type.DateType@570299e3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.633| main | DEBUG |  -  | Adding type registration time -> org.hibernate.type.TimeType@321b7b9e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.634| main | DEBUG |  -  | Adding type registration java.sql.Time -> org.hibernate.type.TimeType@321b7b9e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.637| main | DEBUG |  -  | Adding type registration timestamp -> org.hibernate.type.TimestampType@4682882a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.638| main | DEBUG |  -  | Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@4682882a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.638| main | DEBUG |  -  | Adding type registration java.util.Date -> org.hibernate.type.TimestampType@4682882a | [org.hibernate.type.BasicTypeRegistry:156]
